"customer_id","first_name","last_name","title","rental_date"
1,"Mary","Smith","Adaptation Holes","2005-08-01 08:51:04"
1,"Mary","Smith","Patient Sister","2005-08-19 09:55:16"
1,"Mary","Smith","Bikini Borrowers","2005-08-22 20:03:46"
1,"Mary","Smith","Attacks Hate","2005-06-18 08:41:48"
1,"Mary","Smith","Musketeers Wait","2005-06-15 00:54:12"
1,"Mary","Smith","Luck Opus","2005-07-27 11:31:22"
1,"Mary","Smith","Patient Sister","2005-05-25 11:30:37"
1,"Mary","Smith","Doors President","2005-07-28 09:04:45"
1,"Mary","Smith","Savannah Town","2005-06-18 13:33:59"
1,"Mary","Smith","Racer Egg","2005-08-02 15:36:52"
1,"Mary","Smith","Amistad Midsummer","2005-07-29 03:58:49"
1,"Mary","Smith","Youth Kick","2005-06-21 06:24:45"
1,"Mary","Smith","Expecations Natural","2005-07-11 10:13:46"
1,"Mary","Smith","Minds Truman","2005-08-17 12:37:54"
1,"Mary","Smith","Snatch Slipper","2005-07-09 13:24:07"
1,"Mary","Smith","Talented Homicide","2005-05-28 10:35:23"
1,"Mary","Smith","Fireball Philadelphia","2005-08-22 01:27:57"
1,"Mary","Smith","Jumanji Blade","2005-08-19 13:56:54"
1,"Mary","Smith","Jeepers Wedding","2005-07-31 02:42:18"
1,"Mary","Smith","Closer Bang","2005-06-16 15:18:57"
1,"Mary","Smith","Unforgiven Zoolander","2005-08-21 23:33:57"
1,"Mary","Smith","Confidential Interview","2005-07-09 16:38:01"
1,"Mary","Smith","Fire Wolves","2005-07-08 03:17:05"
1,"Mary","Smith","Women Dorado","2005-07-28 19:20:07"
1,"Mary","Smith","Dalmations Sweden","2005-08-18 03:57:29"
1,"Mary","Smith","Fireball Philadelphia","2005-08-22 19:41:37"
1,"Mary","Smith","Detective Vision","2005-06-15 18:02:53"
1,"Mary","Smith","Finding Anaconda","2005-08-02 18:01:38"
1,"Mary","Smith","Frost Head","2005-07-28 17:33:39"
1,"Mary","Smith","Ferris Mother","2005-06-15 21:08:46"
1,"Mary","Smith","Usual Untouchables","2005-07-28 16:18:23"
1,"Mary","Smith","Saturday Lambs","2005-07-08 07:33:56"
2,"Patricia","Johnson","Confused Candles","2005-08-17 03:52:18"
2,"Patricia","Johnson","Hysterical Grail","2005-07-27 18:40:20"
2,"Patricia","Johnson","Island Exorcist","2005-08-22 13:53:04"
2,"Patricia","Johnson","Doors President","2005-05-27 00:09:24"
2,"Patricia","Johnson","Forward Temple","2005-08-19 06:26:04"
2,"Patricia","Johnson","Telegraph Voyage","2005-07-29 17:14:29"
2,"Patricia","Johnson","Mummy Creatures","2005-07-10 12:38:56"
2,"Patricia","Johnson","Fantasy Troopers","2005-07-30 14:14:11"
2,"Patricia","Johnson","Tomorrow Hustler","2005-07-10 06:31:24"
2,"Patricia","Johnson","Butterfly Chocolat","2005-07-27 15:23:02"
2,"Patricia","Johnson","Holiday Games","2005-07-29 00:12:59"
2,"Patricia","Johnson","Chicken Hellfighters","2005-08-02 07:41:41"
2,"Patricia","Johnson","Rugrats Shakespeare","2005-08-02 02:10:56"
